Opponent,W/L,Method,Competition,Weight,Stage,Year
Dimitrius Souza,W,Referee Decision,Rio Fall Open,ABS,F,2015
Waltan Presto,W,N/A,Rio Fall Open,100KG,SF,2015
Fred Zaganelli,W,Choke,Rio Fall Open,100KG,F,2015
F. Zaganelli,W,N/A,Rio Fall NoGi,100KG,F,2015
Pedro Moura,W,N/A,Rio Fall NoGi,ABS,SF,2015
Claudio Mattos,W,Armbar,Rio Fall NoGi,ABS,F,2015
Rodrigo Cavaca,W,Choke from back,Brasileiro,100KG,F,2015
Cassio Francis,W,Pts: 0x0, Adv,Brasileiro,ABS,1/4F,2015
Victor Silverio,W,Pts: 0x0, Adv,Brasileiro,ABS,SF,2015
Renato Cardoso,W,Pts: 0x0, Pen,Brasileiro,ABS,F,2015
Fernando Reis,W,Pts: 6x2,Copa Podio,95KG,GP,2015
Vinny Magalhaes,W,Pts: 6x4,Copa Podio,95KG,GP,2015
Nelton Pontes,W,Pts: 4x2,Copa Podio,95KG,GP,2015
Tim Spriggs,W,Pts: 0x0, Adv,Copa Podio,95KG,3RD,2015
John Jordan,W,Toe hold,World Champ.,ABS,R1,2015
Jackson Sousa,W,Pts: 4x2,World Champ.,ABS,1/8F,2015
Unknown,W,Toe hold,Rio Winter Open,ABS,1/4F,2015
Felipe Bueno,W,Choke,Rio Winter Open,ABS,SF,2015
Jaime Canuto,W,Points,Rio Winter Open,ABS,F,2015
Igor Cabelo,W,Choke from back,Rio Winter Open,100KG,1/4F,2015
Luis Teixeira,W,Choke from back,Rio Winter Open,100KG,SF,2015
Paulo Henrique,W,Choke from back,Rio Winter Open,100KG,F,2015
Lucio Rodrigues,W,Adv,Grand Slam Tokyo,O94KG,F,2015
Lucio Rodrigues,W,Pts: 2x0,Grand Slam Tokyo,ABS,SF,2015
Rodrigo Caporal,W,Choke,Grand Slam Tokyo,ABS,F,2015
Geraldo Freitas,W,RNC,Sub. Campos X,ABS,SF,2015
Leonardo Chocolate,W,Referee Decision,Sub. Campos X,ABS,F,2015
Jackson Sousa,W,Referee Decision,Grand Slam LA,94KG,SF,2015
Evandro Nunes,W,Pts: 10x0,Grand Slam LA,94KG,F,2015
Evandro Nunes,W,Pts: 4x0,Grand Slam LA,ABS,1/8F,2015
Rafael Ribeiro,W,Choke from back,SP National Pro,94KG,1/4F,2015
Unknown,W,Choke from back,SP National Pro,94KG,SF,2015
Renato Cardoso,W,Adv,SP National Pro,94KG,F,2015
Unknown,W,Pts: 9x2,SP National Pro,O77KG,R1,2015
Unknown,W,Pts: 0x0, Adv,SP National Pro,O77KG,1/4F,2015
Igor Schneider,W,Choke from back,SP National Pro,O77KG,SF,2015
Alberto Ramos,W,Points,IBJJF Rio Pro,94KG,SF,2015
Dimitrius Souza,W,Pts: 9x0,IBJJF Rio Pro,94KG,F,2015
Cristiano Freitas,W,Armbar,South American,ABS,1/8F,2015
Unknown,W,Bow and arrow,South American,ABS,1/4F,2015
Renato Cardoso,W,Pts: 4x2,South American,ABS,SF,2015
Jaime Canuto,W,Armbar,South American,ABS,F,2015
Jose dos Santos,W,Kneebar,South American,100KG,SF,2015
Pablo Yuri,W,Choke from back,South American,100KG,F,2015
Marcos Junior,W,Pts: 4x2,Grand Slam - Rio,94KG,1/8F,2015
Herico Hesley,W,Pts: 2x0,Grand Slam - Rio,94KG,1/4F,2015
Nalmir Guimaraes,W,Pts: 10x0,Grand Slam - Rio,94KG,SF,2015
Gustavo Adolfo,W,Toe hold,Grand Slam - Rio,94KG,F,2015
Wellington Luis,W,Submission,Grand Slam - Rio,ABS,R1,2015
Igor dos Santos,W,Armbar,Grand Slam - Rio,ABS,R2,2015
Kaue Damasceno,W,Pts: 0x0, Adv,Grand Slam - Rio,ABS,1/8F,2015
Cassio Francis,W,Kneebar,Grand Slam - Rio,ABS,1/4F,2015
Gustavo Elias,W,Points,Grand Slam - Rio,ABS,3RD,2015
Cassio Francis,W,Pts: 6x4,European Open,100KG,1/4F,2016
Alexandro Ceconi,W,Pts: 5x0,European Open,100KG,SF,2016
Jordi Lloveras,W,Choke from back,European Open,ABS,R1,2016
Nelton Pontes,W,Pts: 8x0,European Open,ABS,R2,2016
Marcio Andre,W,Kneebar,European Open,ABS,1/4F,2016
Celso Toka̤a,W,Points,Expo Fight,ABS,1/4F,2016
Otavio Serafim,W,Pts: 2x0,Expo Fight,ABS,SF,2016
Andre Campos,W,Pts: 0x0, Adv,London Grand Slam,ABS,1/4F,2016
Max Carvalho,W,Armbar,London Grand Slam,ABS,SF,2016
Jackson Sousa,W,Pts: 2x2, Adv,London Grand Slam,94KG,SF,2016
Faisal AlKitbe,W,Choke from back,London Grand Slam,94KG,F,2016
Saneyson Lopes,W,Submission,Sul Brasileiro,100KG,SF,2016
Felipe Cesar,W,Toe hold,Sul Brasileiro,ABS,F,2016
Thiago Sa,W,Choke from back,World Pro,ABS,R2,2016
Andre Galvao,W,Pts: 0x0, Adv,World Pro,ABS,1/8F,2016
Michael Douglas,W,Cross choke,World Pro,94KG,R1,2016
Herico Hesley,W,Pts: 6x0,World Pro,94KG,1/4F,2016
Faisal AlKitbe,W,Pts: 4x0,World Pro,94KG,SF,2016
Felipe Pena,W,Pts: 7x0,World Pro,94KG,F,2016
Luiz Faguntes,W,Wristlock,Brasileiro,100KG,1/4F,2016
William Lima,W,Points,Brasileiro,ABS,RD,2016
Alan Regis,W,Triangle armbar,Brasileiro,ABS,1/8F,2016
Pedro Moura,W,Adv,Brasileiro,ABS,1/4F,2016
Renato Cardoso,W,Points,Brasileiro,ABS,SF,2016
