Opponent,W/L,Method,Competition,Weight,Stage,Year
Megan Nevill,W,Referee Decision,Pan American,ABS,1/4F,2015
Tammy Griego,W,Kneebar,Pan American,ABS,SF,2015
Ariadne Oliveira,W,Points,World Pro,55KG,F,2015
Michelle Nicolini,W,Pts: 2x0,World Pro,55KG,F,2015
NÃ¡dia Melo,W,Toe hold,World Pro,ABS,R1,2015
Jessica Cristina,W,Footlock,World Pro,ABS,1/4F,2015
Gabrielle Garcia,W,Pts: 0x0, Pen,World Pro,ABS,SF,2015
Vanessa Oliveira,W,Pts: 6x0,World Pro,ABS,F,2015
Tammi Musumeci,W,N/A,World Champ.,58KG,SF,2015
Michelle Nicolini,W,Choke from back,World Champ.,58KG,F,2015
Luiza Monteiro,W,Pts: 8x0,World Champ.,ABS,1/8F,2015
Ana Cordeiro,W,Armbar,World Champ.,ABS,1/4F,2015
Tammi Musumeci,W,Choke from back,FIVE SL,ABS,1/4F,2015
Fabiana Borges,W,Kneebar,FIVE SL,ABS,SF,2015
Karen Antunes,W,Toe hold,FIVE SL,ABS,3RD,2015
Kethe Engen,W,Toe hold,ADCC,60KG,1/4F,2015
Bia Mesquita,W,Referee Decision,ADCC,60KG,SF,2015
Michelle Nicolini,W,Pts: 4x4, Pen,ADCC,60KG,F,2015
Emilie Thylin,W,Kimura,NoGi Worlds,56KG,SF,2015
Josephine Masiello,W,Armbar,NoGi Worlds,ABS,1/4F,2015
Emilie Thylin,W,Toe hold,NoGi Worlds,ABS,SF,2015
Andresa Correa,W,Marcelotine,NoGi Worlds,ABS,F,2015
Yasmine Wilson,W,Toe hold,European Open,58KG,F,2016
Maria Dolores,W,Toe hold,European Open,ABS,R1,2016
Venla Luukkonen,W,Omoplata,European Open,ABS,1/4F,2016
Olga Lyashevska,W,Toe hold,European Open,ABS,SF,2016
Rosie Snow,W,Armbar,F2W Pro 4,ABS,SPF,2016
Vianca Jager,W,Botinha,Pan American,58KG,SF,2016
Karen Antunes,W,Pts: 4x4, Adv,Pan American,58KG,F,2016
Leah Taylor,W,Toe hold,Pan American,ABS,R1,2016
Fernanda Mazzelli,W,Pts: 2x0,Pan American,ABS,1/4F,2016
Ana Alencar,W,Pts: 0x0, Adv,World Pro,55KG,1/4F,2016
Ariadne Oliveira,W,Pts: 5x0,World Pro,55KG,SF,2016
Marina Ribeiro,W,Pts: 0x0, Adv,World Pro,55KG,F,2016
Anna Kavoura,W,Toe hold,World Pro,ABS,R1,2016
Andresa Lidia,W,Choke from back,Brasileiro,ABS,1/4F,2016
Fernanda Mazzelli,W,Points,Brasileiro,ABS,SF,2016
Karen Antunes,W,Referee Decision,World Champ.,58KG,SF,2016
Michelle Nicolini,W,Pts: 6x6, Adv,World Champ.,58KG,F,2016
Fernanda Mazzelli,W,Referee Decision,World Champ.,ABS,1/4F,2016
Talita Alencar,W,Referee Decision,F2W Pro 12,88KG,SPF,2016
Megan Green,W,Kneebar,Grand Slam Tokyo,70KG,RR,2016
Megan Green,W,Kneebar,Grand Slam Tokyo,70KG,F,2016
