Opponent,W/L,Method,Competition,Weight,Stage,Year
Bruno Paulista,W,Points,World Champ.,O100KG,1/4F,2007
Luis Theodoro,W,Referee Decision,World Champ.,O100KG,F,2007
Nick Kline,W,Points,NoGi Pan Am.,100KG,1/4F,2007
Anthony Rode,W,RNC,10k Challenge,ABS,GP,2007
Stephen Dawson,W,Anaconda,10k Challenge,ABS,GP,2007
Fabio Marmontel,W,Armbar,Pan American,94KG,1/4F,2008
Fernando Piero,W,Adv,Pan American,94KG,SF,2008
Roberto Alencar,W,Adv,Pan American,94KG,F,2008
Arthur Cesar,W,Kimura,World Champ.,100KG,1/4F,2008
Roberto Abreu,W,Pts: 8x4,World Champ.,100KG,SF,2008
Marcel Fortuna,W,Armbar,World Champ.,ABS,R1,2008
Rubens Charles,W,Pts: 4x2,World Champ.,ABS,R2,2008
Tom Lawlor,W,Points,ADCC,88KG,R1,2009
Bruno Bastos,W,Darce choke,ADCC,88KG,1/4F,2009
Fernando Piero,W,Adv,World Champ.,94KG,1/4F,2009
Marcel Fortuna,W,RNC,NoGi Worlds,100KG,SF,2009
Leo Nogueira,W,Points,Pan American,94KG,1/4F,2010
Joao Assis,W,Pts: 2x0,Pan American,94KG,SF,2010
Bernardo Faria,W,Pts: 7x0,Pan American,94KG,F,2010
Roberto Alencar,W,Referee Decision,No Gi Worlds,94KG,F,2010
Tony Eduardo,W,Points,World Champ.,94KG,R1,2010
Joao Assis,W,Points,World Champ.,94KG,1/4F,2010
Rodolfo Vieira,W,Pts: 4x2,World P. NoGi,92KG,F,2011
Mick Wilson,W,Pts: 2x0,World Champ.,ABS,R1,2011
Antonio Carlos,W,Triangle,World Champ.,ABS,R2,2011
Fernando Piero,W,Triangle,World Champ.,94KG,RDS,2011
Renan Vital,W,Armbar,World Champ.,94KG,1/4F,2011
Jeon Doo Kwang,W,RNC,ADCC,88KG,R1,2011
Kyle Griffin,W,Triangle,ADCC,88KG,1/4F,2011
Frederico Moncaio,W,RNC,No Gi Worlds,88KG,1/4F,2011
Otavio Sousa,W,Pts: 4x0,No Gi Worlds,88KG,SF,2011
Pablo Popovitch,W,Pts: 4x0,No Gi Worlds,88KG,F,2011
Bruno Bastos,W,Pts: 2x0,UFC Expo,ABS,SPF,2011
Igor Silva,W,Kimura,European Open,ABS,1/4F,2012
Igor Ara̼jo,W,Points,Pan American,94KG,R2,2012
Rodrigo Clark,W,Submission,World Pro.,88KG,R1,2012
Roberto Fonseca,W,Points,World Pro.,88KG,1/4F,2012
Dimitrius Souza,W,Referee Decision,World Champ.,88KG,1/4F,2012
Kayron Gracie,W,Kimura,Metamoris,ABS,SPF,2012
Max Freitas,W,Kimura,NoGi Worlds,94KG,R1,2012
Nivaldo Oliveira,W,Katagatame,NoGi Worlds,94KG,SF,2012
Murilo Santana,D,---,World Expo,ABS,SPF,2013
Alexandre Ceconi,W,N/A,Brasileiro,ABS,SF,2013
R. Evangelista,W,Kimura,Brasileiro,ABS,F,2013
Antonio Peinado,W,Pts: 5x0,World Champ.,100KG,1/4F,2013
Shinsho Anzai,W,Mounted triangle,ADCC,88KG,R1,2013
Rustam Chsiev,W,Triangle,ADCC,88KG,1/4F,2013
Pablo Popovitch,W,Points,ADCC,88KG,SF,2013
Ricardo Rezende,W,Points,NoGi Worlds,O100KG,SF,2013
Fabiano Scherner,W,Adv,NoGi Worlds,O100KG,F,2013
Bueno/Alliance,W,Points,Pan American,94KG,1/4F,2014
Jackson Sousa,W,Pts: 2x0,World Champ.,94KG,1/4F,2014
Andrew Kimler,W,Kimura,Five TX,ABS,SF,2014
Joshua Hayden,W,Pts: 10x0,Five TX,ABS,F,2014
Andrew Kimler,W,Kimura,Five TX NoGi,ABS,SF,2014
Joshua Hayden,W,Pts: 10x0,Five TX NoGi,ABS,F,2014
Douglas Bueno,W,Ezekiel,Five TX NoGi,94KG,F,2014
Wellington Peroto,W,Kimura,Curitiba No Gi,100KG,SF,2015
Fernando Pires,W,North South choke,Curitiba No Gi,100KG,F,2015
Unknown,W,N/A,Curitiba No Gi,ABS,SF,2015
Jurandir Concei̤̣o,W,Armbar,Curitiba Open,94KG,F,2015
Hidemi Mihara,W,Pts: 7x0,ADCC,88KG,R1,2015
Michael Liera,W,Pts: 0x0, Adv,Houston Nat. Pro,94KG,F,2015
Carlos Farias,W,Baseball choke,Houston Nat. Pro,ABS,RR,2015
Michael Liera,W,Pts: 7x0,Houston Nat. Pro,ABS,F,2015
Ricardo Abreu,W,Arm in guillotine,F2W Pro 3,ABS,SPF,2016
Steve Patterson,W,Arm in ezekiel,Respect Pro,ABS,SPF,2016
Roberto Abreu,W,Referee Decision,F2W Pro 7,O100KG,SPF,2016
Tanner Rice,W,Cross choke,F2W Pro 11,ABS,SPF,2016
