Opponent,W/L,Method,Competition,Weight,Stage,Year
Roberto Alencar,W,Flying Armbar,World Champ.,94KG,SF,2012
Dean Lister,D,---,Metamoris,ABS,SPF,2012
Alberto Vilanova,W,Armbar,NoGi Worlds,100KG,1/4F,2012
Tarcisio Jardim,W,Pts: 2x0,NoGi Worlds,100KG,SF,2012
Joao Assis,W,Referee Decision,NoGi Worlds,100KG,F,2012
Vitor Oliveira,W,Pts: 4x0,NoGi Worlds,ABS,R1,2012
Kleber Buiu,W,Pts: 9x0,NoGi Worlds,ABS,1/4F,2012
Bernardo Faria,W,Pts: 3x0,NoGi Worlds,ABS,SF,2012
Leandro Lo,W,Pts: 0x0, Adv,NoGi Worlds,ABS,F,2012
K. Cornelius,W,Pts: 4x2,Copa Podio,100KG,GP,2013
Alexandre Ceconi,W,Armbar,Copa Podio,100KG,GP,2013
Max Freitas,W,Cross ck. f/ mount,World Champ.,94KG,1/4F,2013
Braulio Estima,W,Points,Copa Podio,ABS,SPF,2013
Alan Regis,W,Cross choke,Brasileiro,ABS,1/4F,2014
Renato Cardoso,W,Pts: 2x0,Brasileiro,ABS,SF,2014
RIcardo Ramos,W,Pts: 9x0,Brasileiro,94KG,1/4F,2014
Keenan Cornelius,D,---,Metamoris 6,ABS,SPF,2015
Arnaldo Maidana,W,Choke,World Champ.,94KG,1/8F,2015
Dimitrius Souza,W,Pts: 2x0,World Champ.,94KG,1/4F,2015
Jackson Sousa,W,Pts: 6x0,World Champ.,94KG,SF,2015
Lucas Leite,W,Pts: 4x2,World Champ.,94KG,F,2015
Marcio Cruz,W,Referee Decision,UFC Expo,ABS,SPF,2015
AJ Sousa,W,Choke,BJJL Challenge,ABS,SPF,2015
Yukiyasu Ozawa,W,Omoplata,ADCC,99KG,R1,2015
Hector Lombard,W,Referee Decision,ADCC,99KG,1/4F,2015
Karim Khalifa,W,Kimura,Grand Slam - LA,94KG,1/4F,2016
Erberth Santos,W,Referee Decision,Grand Slam - LA,94KG,SF,2016
Arnaldo Maidana,W,Pts: 8x0,Grand Slam - LA,94KG,F,2016
Alexandre Ogawa,W,Choke from back,Grand Slam Tokyo,94KG,1/4F,2016
Bruno Kikuchi,W,Triangle,Grand Slam Tokyo,94KG,SF,2016
